,Company,TypeName,Inches,ScreenResolution,Resolution,Cpu,Gpu,GHz,RamGB,MemoryGB,Extra GB,Disk,OpSys,Price,
199,HP,Notebook,17.3,1920,1080,Intel Core i7 8550U ,Nvidia GeForce 930MX ,1.8,8,256,,SSD,Windows 10,668,
200,Dell,Gaming,15.6,3840,2160,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1060,2.8,16,512,1024,SSD,Windows 10,1179,
201,Lenovo,Notebook,15.6,1366,768,Intel Core i5 6200U ,Intel HD Graphics 520,2.3,4,128,,SSD,Windows 10,315,
202,Acer,Notebook,15.6,1920,1080,Intel Core i7 7500U ,Nvidia GeForce 940MX,2.7,8,1024,,HDD,Windows 10,474,
203,Lenovo,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1060,2.8,16,512,1024,SSD,Windows 10,1118,
204,Dell,Workstation,15.6,3840,2160,Intel Xeon E3-1505M V6 ,Nvidia Quadro M1200,3,16,256,1024,SSD,Windows 10,1953,
205,Lenovo,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1060,2.8,16,512,,SSD,No OS,893,
206,Dell,Notebook,15.6,1366,768,Intel Core i3 7100U ,Intel HD Graphics 620,2.4,6,1024,,HDD,Windows 10,280,
207,Dell,Ultrabook,13.3,3840,2160,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,8,256,,SSD,Windows 10,1246,
208,Dell,Ultrabook,13.3,1920,1080,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,8,256,,SSD,Windows 10,926,
209,Lenovo,Notebook,15.6,1366,768,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,8,256,,SSD,Windows 10,381,
210,Acer,Notebook,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050,2.8,8,1024,,HDD,Linux,498,
211,Asus,Gaming,17.3,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050,2.8,16,256,1024,SSD,Windows 10,899,
212,HP,Notebook,15.6,1920,1080,Intel Core i3 6006U ,Intel HD Graphics 520,2,4,500,,HDD,No OS,223,
213,Lenovo,Notebook,15.6,1920,1080,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,8,256,,SSD,No OS,351,
214,Huawei,Ultrabook,13,2160,1440,Intel Core i7 7500U ,Intel HD Graphics 620,2.7,8,512,,SSD,Windows 10,958,
215,Dell,Ultrabook,13.3,1920,1080,Intel Core i7 8550U ,AMD Radeon 530,1.8,8,256,,SSD,Windows 10,595,
216,Lenovo,Notebook,17.3,1600,900,Intel Core i5 7200U ,Nvidia GeForce GTX 940MX,2.5,8,1024,,HDD,No OS,376,
217,HP,Notebook,14,1920,1080,Intel Core i7 8550U ,Nvidia GeForce 930MX,1.8,8,256,,SSD,Windows 10,659,
218,Dell,Ultrabook,14,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,8,256,,SSD,Windows 10,734,
219,Dell,2 in 1 Convertible,13.3,1920,1080,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,16,512,,SSD,Windows 10,817,
220,Dell,Notebook,15.6,1920,1080,Intel Core i5 8250U ,AMD Radeon 520,1.6,8,256,,SSD,Linux,433,
221,Lenovo,2 in 1 Convertible,14,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,8,256,,SSD,Windows 10,574,
222,Toshiba,Ultrabook,13.3,1920,1080,Intel Core i7 6500U ,Intel HD Graphics 520,2.5,8,256,,SSD,Windows 10,871,
223,HP,Notebook,15.6,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,8,1024,,HDD,Windows 10,507,
224,Dell,Gaming,17.3,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1060,2.8,16,256,1024,SSD,Windows 10,1570,
225,Acer,Notebook,15.6,1920,1080,Intel Core i7 7500U ,Nvidia GeForce 940MX,2.7,8,256,,SSD,Windows 10,531,
226,Dell,Notebook,15.6,1920,1080,Intel Core i7 7500U ,AMD Radeon R7 M445,2.7,16,1024,,HDD,Windows 10,549,
227,Asus,Notebook,15.6,1920,1080,Intel Core i5 7200U ,Nvidia GeForce 920MX ,2.5,8,256,,SSD,Windows 10,491,
228,Asus,Notebook,17.3,1920,1080,Intel Core i5 7200U ,Nvidia GeForce GTX 950M,2.5,8,256,500,SSD,Windows 10,569,
229,HP,Notebook,15.6,1920,1080,Intel Core i7 7500U ,AMD FirePro W4190M ,2.7,8,1024,,HDD,Windows 10,811,
230,Asus,Notebook,15.6,1366,768,Intel Core i3 7100U ,Intel HD Graphics 620,2.4,4,1024,,HDD,Windows 10,255,
231,HP,Notebook,15.6,1366,768,AMD E-Series 9000e  ,AMD Radeon R2,1.5,4,500,,HDD,Windows 10,210,
232,Lenovo,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1060,2.8,16,256,1024,SSD,Windows 10,958,
233,Dell,Notebook,14,1920,1080,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,8,256,,SSD,Windows 10,549,
234,Acer,2 in 1 Convertible,13.3,1920,1080,Intel Core i5 6200U ,Intel HD Graphics 520,2.3,8,256,,SSD,Windows 10,440,
235,Dell,Notebook,15.6,1920,1080,Intel Core i7 7500U ,AMD Radeon R7 M445,2.7,16,256,,SSD,Linux,574,
236,Acer,Notebook,15.6,1366,768,Intel Core i3 6006U ,Intel HD Graphics 520,2,4,1024,,HDD,Linux,249,
237,Asus,Notebook,15.6,1920,1080,AMD A10-Series A10-9620P  ,AMD Radeon R5 M430,2.5,4,128,1024,SSD,Windows 10,367,
238,Asus,Gaming,17.3,1920,1080,Intel Core i7 7820HK ,Nvidia GeForce GTX 1080,2.9,32,512,1024,SSD,Windows 10,2487,
239,Acer,Gaming,15.6,1920,1080,Intel Core i5 7300HQ ,Nvidia GeForce GTX 1050,2.5,8,256,,SSD,Windows 10,540,
240,Lenovo,Notebook,15.6,1366,768,Intel Core i3 6006U ,Intel HD Graphics 520,2,8,128,,SSD,Windows 10,376,
241,Asus,Notebook,17.3,1920,1080,Intel Core i7 8550U ,Nvidia GeForce 150MX,1.8,8,128,1024,SSD,Windows 10,732,
242,Asus,Notebook,17.3,1920,1080,Intel Core i7 7500U ,Nvidia GeForce GTX 950M,2.7,8,128,1024,SSD,No OS,568,
243,Dell,Gaming,15.6,1920,1080,Intel Core i5 7300HQ ,Nvidia GeForce GTX 1050,2.5,8,256,,SSD,Windows 10,561,
244,Lenovo,2 in 1 Convertible,13.9,1920,1080,Intel Core i7 7500U ,Intel HD Graphics 620,2.7,8,256,,SSD,Windows 10,689,
245,Dell,Notebook,15.6,1920,1080,Intel Core i7 8550U ,AMD Radeon 530,1.8,8,128,2048,SSD,Windows 10,629,
246,HP,Notebook,15.6,1366,768,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,8,1024,,HDD,Windows 10,357,
247,Asus,Gaming,17.3,1920,1080,Intel Core i7 7820HK ,Nvidia GeForce GTX 1080,2.9,16,256,,SSD,Windows 10,1917,
248,HP,Notebook,13.3,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,4,500,,HDD,Windows 10,431,
249,Apple,Ultrabook,13.3,2560,1600,Intel Core i5  ,Intel Iris Plus Graphics 650,3.1,8,512,,SSD,macOS,1304,
250,Dell,2 in 1 Convertible,15.6,1920,1080,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,8,1024,,HDD,Windows 10,523,
251,Asus,Gaming,17.3,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 980M,2.8,16,256,1024,SSD,Windows 10,1150,
252,Asus,Notebook,15.6,1366,768,AMD A9-Series 9420  ,AMD Radeon R5 M420,3,4,1024,,HDD,Windows 10,299,
253,Lenovo,2 in 1 Convertible,13.9,1920,1080,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,8,512,,SSD,Windows 10,1182,
254,Acer,Notebook,17.3,1920,1080,Intel Core i3 7130U ,Nvidia GeForce MX130,2.7,4,256,,SSD,Windows 10,448,
255,Dell,Ultrabook,13.3,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,8,256,,SSD,Windows 10,606,
256,HP,Notebook,15.6,1366,768,AMD A6-Series A6-9220  ,AMD Radeon R4 Graphics,2.5,8,128,,SSD,Windows 10,285,
257,HP,Notebook,17.3,1920,1080,Intel Core i7 8550U ,Nvidia GeForce MX150,1.8,16,1024,,HDD,Windows 10,677,
258,MSI,Gaming,17.3,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1070,2.8,16,512,1024,SSD,Windows 10,1597,
259,Lenovo,2 in 1 Convertible,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050M,2.8,8,512,,SSD,Windows 10,1086,
260,Dell,Notebook,17.3,1920,1080,Intel Core i7 8550U ,AMD Radeon 530,1.8,8,128,1024,SSD,Windows 10,730,
261,Lenovo,Notebook,15.6,1920,1080,Intel Core i3 6006U ,Intel HD Graphics 520,2,4,256,,SSD,No OS,283,
262,HP,Notebook,15.6,1920,1080,Intel Core i5 8250U ,Intel HD Graphics 620,1.6,4,500,,HDD,Windows 10,461,
263,Dell,Notebook,15.6,1920,1080,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,4,1024,,HDD,Windows 10,420,
264,Dell,Notebook,15.6,1920,1080,Intel Core i5 7200U ,AMD Radeon R5 M430,2.5,8,1024,,HDD,Windows 10,361,
265,Dell,2 in 1 Convertible,15.6,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,8,256,,SSD,Windows 10,510,
266,Asus,2 in 1 Convertible,13.3,1920,1080,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,8,512,512,SSD,Windows 10,958,
267,Lenovo,Notebook,15.6,1920,1080,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,4,1024,,HDD,No OS,298,
268,HP,Notebook,17.3,1920,1080,Intel Core i7 8550U ,Nvidia GeForce 930MX ,1.8,8,1024,,HDD,Windows 10,650,
269,Lenovo,Notebook,15.6,1920,1080,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,8,256,,SSD,Windows 10,562,
270,Apple,Ultrabook,13.3,2560,1600,Intel Core i5  ,Intel Iris Graphics 550,2.9,8,512,,SSD,macOS,1252,
271,Asus,Gaming,17.3,1920,1080,AMD Ryzen 1700  ,AMD Radeon RX 580,3,16,256,1024,SSD,Windows 10,990,
272,Dell,Notebook,15.6,1920,1080,Intel Core i7 8550U ,AMD Radeon 520,1.8,8,256,,SSD,Linux,469,
273,Lenovo,2 in 1 Convertible,14,2560,1440,Intel Core i7 6600U ,Intel HD Graphics 520,2.6,16,512,,SSD,Windows 10,1597,
274,Toshiba,Notebook,15.6,1366,768,Intel Core i7 6500U ,Nvidia GeForce 930M,2.5,8,500,,HDD,Windows 10,519,
275,Dell,Notebook,15.6,1366,768,Intel Core i7 7500U ,Intel HD Graphics 620,2.7,12,1024,,HDD,Windows 10,455,
276,Dell,Notebook,17.3,1920,1080,Intel Core i7 8550U ,AMD Radeon 530,1.8,8,128,1024,SSD,Linux,702,
277,Acer,Notebook,15.6,1920,1080,Intel Core i7 8550U ,Nvidia GeForce MX130,1.8,8,1024,,HDD,Windows 10,476,
278,Lenovo,Notebook,17.3,1600,900,Intel Core i3 6006U ,Intel HD Graphics 520,2,4,1024,,HDD,Windows 10,312,
279,Lenovo,Notebook,17.3,1920,1080,Intel Core i7 8550U ,Nvidia GeForce MX150,1.8,8,2048,,HDD,No OS,542,
280,Lenovo,Notebook,17.3,1600,900,Intel Core i7 7500U ,Nvidia GeForce 940MX,2.7,6,128,1024,SSD,Windows 10,549,
281,Dell,Notebook,15.6,1920,1080,Intel Core i3 6006U ,AMD Radeon R5 M430,2,4,1024,,HDD,Linux,273,
282,Lenovo,Gaming,15.6,1920,1080,Intel Core i5 7300HQ ,Nvidia GeForce GTX 1050,2.5,8,256,,SSD,Windows 10,530,
283,Lenovo,Notebook,15.6,1920,1080,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,6,256,,SSD,Windows 10,370,
284,Acer,Notebook,15.6,1920,1080,Intel Core i7 8550U ,Nvidia GeForce MX150,1.8,8,256,,SSD,Windows 10,608,
285,Acer,Notebook,15.6,1920,1080,Intel Core i7 7500U ,Intel HD Graphics 620,2.7,12,1024,,HDD,Windows 10,421,
286,Lenovo,Notebook,15.6,1920,1080,Intel Core i7 7500U ,Intel HD Graphics 630,2.7,8,256,,SSD,Windows 10,701,
287,Asus,Ultrabook,15.6,1920,1080,Intel Core i5 7200U ,Nvidia GeForce 940MX,2.5,8,256,,SSD,Windows 10,624,
288,Lenovo,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050 Ti,2.8,16,256,1024,SSD,Windows 10,753,
289,Lenovo,Notebook,15.6,1920,1080,Intel Core i7 7500U ,Nvidia GeForce 940MX,2.7,8,1024,,HDD,No OS,421,
290,Acer,Notebook,15.6,1366,768,Intel Celeron Dual Core 3205U,Intel HD Graphics,1.5,2,16,,SSD,Chrome OS,127,
291,Asus,Gaming,17.3,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050,2.8,8,1024,,HDD,Windows 10,758,
292,HP,Notebook,17.3,1600,900,Intel Core i3 6006U ,Intel HD Graphics 520,2,8,1024,,HDD,Windows 10,312,
293,Dell,Notebook,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050,2.8,8,256,,SSD,Windows 10,1169,
294,Lenovo,Notebook,15.6,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,8,256,,SSD,Windows 10,472,
295,Lenovo,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1060,2.8,8,1024,,HDD,Windows 10,830,
296,Acer,Notebook,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050 Ti,2.8,8,256,,SSD,Linux,625,
297,Dell,Workstation,17.3,1920,1080,Intel Core i7 7820HQ ,Nvidia Quadro M1200,2.9,16,256,,SSD,Windows 10,1844,
298,Lenovo,Notebook,15.6,1920,1080,AMD A10-Series 9600P  ,AMD Radeon R5 430,2.4,6,1024,,HDD,Windows 10,319,
299,Asus,Ultrabook,15.6,1920,1080,Intel Core i7 7500U ,Nvidia GeForce 940MX,2.7,16,512,,SSD,Windows 10,938,
300,Asus,Notebook,14,1366,768,Intel Core i3 7100U ,Intel HD Graphics 620,2.4,4,128,,SSD,Windows 10,325,
301,Asus,Gaming,17.3,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1070,2.8,16,256,1024,SSD,Windows 10,1356,
302,Lenovo,Notebook,17.3,1600,900,Intel Core i5 7200U ,Nvidia GeForce GTX 940M,2.5,6,1024,,HDD,Windows 10,414,
303,Lenovo,Notebook,15.6,1366,768,Intel Core i5 7200U ,Nvidia GeForce 940MX,2.5,8,2048,,HDD,No OS,351,
304,Asus,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050 Ti,2.8,8,128,1024,SSD,Windows 10,808,
305,Lenovo,Notebook,15.6,1366,768,Intel Pentium Quad Core N4200,Intel HD Graphics 505,1.1,4,1024,,HDD,No OS,230,
306,HP,2 in 1 Convertible,13.3,1920,1080,Intel Core i7 7600U ,Intel HD Graphics 620,2.8,16,256,,SSD,Windows 10,1262,
307,Toshiba,Notebook,15.6,1920,1080,Intel Core i7 6500U ,Nvidia GeForce 930M,2.5,8,256,,SSD,Windows 10,666,
308,Lenovo,Notebook,15.6,1920,1080,Intel Core i5 7200U ,Nvidia GeForce 940MX,2.5,8,128,1024,SSD,Windows 10,523,
309,HP,Notebook,15.6,1920,1080,Intel Core i3 6006U ,Intel HD Graphics 520,2,4,1024,,HDD,Windows 10,299,
310,Lenovo,Notebook,13.3,1920,1080,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,8,256,,SSD,Windows 10,638,
311,Dell,Ultrabook,13.3,3840,2160,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,16,1024,,SSD,Windows 10,1597,
312,MSI,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1070,2.8,16,256,1024,SSD,Windows 10,1342,
313,Acer,Notebook,15.6,1920,1080,AMD A8-Series 7410  ,AMD Radeon R5,2.2,8,256,,SSD,Windows 10,299,
314,Asus,2 in 1 Convertible,11.6,1366,768,Intel Celeron Dual Core N3350,Intel HD Graphics 500,1.1,2,32,,Flash,Windows 10,175,
315,Dell,Notebook,15.6,1920,1080,Intel Core i5 8250U ,AMD Radeon 530,1.6,8,128,1024,SSD,Windows 10,539,
316,HP,2 in 1 Convertible,13.3,3840,2160,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,16,1024,,SSD,Windows 10,1565,
317,Lenovo,Notebook,13.3,1366,768,Intel Celeron Dual Core 3855U,Intel HD Graphics 510,1.6,4,16,,Flash,Chrome OS,294,
318,HP,Notebook,14,1920,1080,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,8,256,,SSD,Windows 10,626,
319,Acer,Notebook,11.6,1366,768,Intel Pentium Quad Core N3710,Intel HD Graphics 405,1.6,4,128,,Flash,Windows 10,310,
320,HP,Notebook,14,1920,1080,Intel Core i7 7500U ,Intel HD Graphics 620,2.7,8,256,,SSD,Windows 10,826,
321,Lenovo,Notebook,17.3,1600,900,Intel Core i5 7200U ,Nvidia GeForce 920MX,2.5,4,1024,,HDD,Windows 10,376,
322,Asus,Notebook,14,1920,1080,Intel Core i7 7500U ,Intel HD Graphics 620,2.7,8,256,,SSD,Windows 10,699,
323,HP,Notebook,15.6,1366,768,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,8,1024,,HDD,Windows 10,576,
324,Acer,Notebook,15.6,1366,768,AMD A12-Series 9720P  ,AMD Radeon RX 540,2.7,8,256,,SSD,Windows 10,421,
325,Lenovo,Notebook,14,1366,768,Intel Celeron Dual Core N3350,Intel HD Graphics 500,1.1,4,32,,Flash,Windows 10,186,
326,Acer,Notebook,15.6,1366,768,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,6,1024,,HDD,Windows 10,351,
327,Asus,Ultrabook,15.6,1920,1080,Intel Core i7 7500U ,Nvidia GeForce 940MX,2.7,8,256,,SSD,Windows 10,671,
328,HP,Ultrabook,12.5,1920,1080,Intel Core i7 7500U ,Intel HD Graphics 620,2.7,8,256,,SSD,Windows 10,853,
329,Dell,Notebook,15.6,3840,2160,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050,2.8,32,1024,,SSD,Windows 10,1687,
330,MSI,Gaming,17.3,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050 Ti,2.8,8,256,1024,SSD,Windows 10,766,
331,Toshiba,Notebook,15.6,1920,1080,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,8,256,,SSD,Windows 10,602,
332,Asus,Notebook,14,1920,1080,Intel Core i7 7500U ,Intel HD Graphics 620,2.7,8,256,1024,SSD,Windows 10,852,
333,Lenovo,Notebook,15.6,1920,1080,Intel Core i3 6006U ,Intel HD Graphics 520,2,4,1024,,HDD,Windows 10,287,
334,Asus,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050,2.8,8,256,,SSD,Windows 10,638,
335,HP,Notebook,14,1920,1080,Intel Core i5 7300U ,Intel HD Graphics 620,2.6,8,256,,SSD,Windows 10,810,
336,Dell,Ultrabook,15.6,1920,1080,Intel Core i5 8250U ,Nvidia GeForce 940MX,1.6,8,128,1024,SSD,Windows 10,670,
337,HP,Notebook,15.6,1920,1080,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,8,256,,SSD,Windows 10,731,
338,Asus,Notebook,15.6,1366,768,Intel Celeron Dual Core N3350,Intel HD Graphics 500,1.1,4,1024,,HDD,Linux,175,
339,Dell,Notebook,15.6,1920,1080,Intel Core i5 8250U ,Nvidia GeForce 940MX,1.6,8,256,,SSD,Windows 10,730,
340,Dell,Notebook,15.6,1366,768,Intel Celeron Dual Core N3060,Intel HD Graphics,1.6,4,500,,HDD,Linux,175,
341,Lenovo,Notebook,15.6,1920,1080,AMD A12-Series 9720P  ,AMD Radeon 530,3.6,12,2048,,HDD,Windows 10,574,
342,HP,Notebook,15.6,1920,1080,Intel Core i3 7100U ,Nvidia GeForce 930MX ,2.4,8,1024,,HDD,Windows 10,457,
343,Lenovo,2 in 1 Convertible,13.9,3840,2160,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,16,512,,SSD,Windows 10,1342,
344,Dell,Ultrabook,13.3,1920,1080,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,8,256,,SSD,Windows 10,1009,
345,Lenovo,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050 Ti,2.8,16,256,2048,SSD,Windows 10,721,
346,HP,Notebook,14,1366,768,Intel Celeron Dual Core N3060,Intel HD Graphics 400,1.6,2,32,,Flash,Windows 10,178,
347,Dell,Ultrabook,15.6,1920,1080,Intel Core i7 8650U ,Intel UHD Graphics 620,1.9,16,512,256,SSD,Windows 10,1028,
348,Asus,2 in 1 Convertible,11.6,1366,768,Intel Celeron Dual Core N3350,Intel HD Graphics 500,1.1,4,32,,Flash,Windows 10,239,
349,Dell,Ultrabook,15.6,1920,1080,Intel Core i5 8250U ,AMD Radeon 530,1.6,8,1024,,HDD,Windows 10,423,
350,Dell,Notebook,15.6,3840,2160,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050,2.8,16,512,,SSD,Windows 10,1296,
351,HP,Notebook,15.6,1920,1080,Intel Core i7 7500U ,Intel HD Graphics 620,2.7,8,256,,SSD,Windows 10,833,
352,MSI,Gaming,17.3,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1060,2.8,8,128,1024,SSD,Windows 10,900,
353,HP,Workstation,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia Quadro M1200,2.8,8,256,,SSD,Windows 10,1111,
354,Toshiba,Notebook,15.6,1920,1080,Intel Core i7 6500U ,Nvidia GeForce 930M,2.5,16,512,,SSD,Windows 10,897,
355,Dell,Notebook,15.6,1920,1080,Intel Core i7 8550U ,AMD Radeon 530,1.8,8,128,2048,SSD,Windows 10,620,
356,Lenovo,Notebook,15.6,1366,768,Intel Celeron Dual Core N3350,Intel HD Graphics 500,1.1,4,1024,,HDD,No OS,205,
357,Dell,Gaming,15.6,1920,1080,Intel Core i5 7300HQ ,Nvidia GeForce GTX 1050,2.5,8,1024,,HDD,Windows 10,638,
358,Dell,Notebook,15.6,1366,768,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,8,2048,,HDD,Windows 10,356,
359,Dell,Notebook,14,1920,1080,Intel Core i5 7300U ,Intel HD Graphics 620,2.6,8,256,,SSD,Windows 10,912,
360,HP,Notebook,15.6,1366,768,Intel Core i3 6006U ,Intel HD Graphics 520,2,4,500,,HDD,Windows 10,280,
361,Asus,Notebook,14,1920,1080,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,8,256,,SSD,Windows 10,604,
362,Lenovo,Notebook,17.3,1600,900,Intel Core i5 7200U ,Nvidia GeForce GTX 940MX,2.5,6,128,1024,SSD,Windows 10,459,
363,HP,Notebook,15.6,1920,1080,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,8,1024,,HDD,Windows 10,408,
364,Lenovo,Notebook,15.6,1366,768,Intel Core i3 6006U ,Nvidia GeForce 920MX ,2,8,256,,SSD,No OS,319,
365,HP,Notebook,15.6,1366,768,Intel Pentium Quad Core N3710,Intel HD Graphics 405,1.6,8,2048,,HDD,Windows 10,248,
366,Dell,Notebook,17.3,1920,1080,Intel Core i5 8250U ,AMD Radeon 530,1.6,8,128,1024,SSD,Windows 10,693,
367,Lenovo,Gaming,15.6,1920,1080,Intel Core i5 7300HQ ,Nvidia GeForce GTX 1050,2.5,8,128,1024,SSD,No OS,517,
368,Dell,Notebook,15.6,1920,1080,Intel Core i7 7500U ,AMD Radeon R7 M445,2.7,8,256,,SSD,Windows 10,574,
369,HP,Ultrabook,14,1920,1080,Intel Core i7 7500U ,Intel HD Graphics 620,2.7,8,256,,SSD,Windows 10,1118,
370,Asus,2 in 1 Convertible,15.6,1920,1080,Intel Core i7 7500U ,Nvidia GeForce GT 940MX,2.7,12,512,2048,SSD,Windows 10,702,
371,Acer,Notebook,15.6,1366,768,AMD A9-Series 9420  ,AMD Radeon R5,3,4,128,,SSD,Windows 10,272,
372,Asus,Gaming,17.3,1920,1080,AMD Ryzen 1700  ,AMD Radeon RX 580,3,16,256,1024,SSD,Windows 10,1405,
373,Lenovo,Notebook,17.3,1600,900,AMD A8-Series 7410  ,AMD Radeon R5,2.2,4,128,,SSD,Windows 10,312,
374,Dell,2 in 1 Convertible,13.3,1920,1080,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,8,256,,SSD,Windows 10,555,
375,HP,Notebook,15.6,1920,1080,AMD A9-Series 9420  ,AMD Radeon R5,3,4,256,,SSD,Windows 10,312,
376,Lenovo,Netbook,11.6,1366,768,Intel Celeron Quad Core N3450,Intel HD Graphics 500,1.1,4,128,,SSD,Windows 10,353,
377,Dell,Notebook,15.6,1366,768,Intel Celeron Dual Core N3060,Intel HD Graphics 400,1.6,4,500,,HDD,Windows 10,197,
378,Asus,Notebook,14,1366,768,Intel Celeron Dual Core N3350,Intel HD Graphics 500,1.1,4,32,,Flash,Windows 10,182,
379,Acer,Notebook,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050,2.8,8,1024,,HDD,Linux,540,
380,HP,Gaming,17.3,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050,2.8,8,128,1024,SSD,Windows 10,761,
381,Lenovo,Notebook,15.6,1920,1080,Intel Core i3 6006U ,Intel HD Graphics 520,2,4,128,,SSD,No OS,257,
382,Asus,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1060,2.8,8,128,1024,SSD,Windows 10,1058,
383,Lenovo,Notebook,14,1920,1080,Intel Core i5 7200U ,Nvidia GeForce 940MX,2.5,8,256,,SSD,Windows 10,702,
384,Asus,Ultrabook,13.3,1920,1080,Intel Core i7 7500U ,Intel HD Graphics 620,2.7,16,512,,SSD,Windows 10,1118,
385,Lenovo,Ultrabook,14,2560,1440,Intel Core i7 7500U ,Intel HD Graphics 620,2.7,8,512,,SSD,Windows 10,1459,
386,Lenovo,Notebook,13.3,1920,1080,Intel Core i3 7100U ,Intel HD Graphics 620,2.4,4,128,,SSD,Windows 10,351,
387,Dell,Workstation,15.6,1920,1080,Intel Core i5 6440HQ ,AMD FirePro W5130M,2.6,8,500,,HDD,Windows 10,875,
388,Dell,Workstation,15.6,1920,1080,Intel Core i7 6820HQ ,Nvidia Quadro M1200,2.7,8,256,,SSD,Windows 10,1365,
389,Lenovo,2 in 1 Convertible,14,2560,1440,Intel Core i7 7500U ,Intel HD Graphics 620,2.7,16,512,,SSD,Windows 10,1604,
390,Asus,Gaming,17.3,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050,2.8,8,1024,,HDD,Windows 10,664,
391,Asus,Gaming,17.3,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050 Ti,2.8,16,256,1024,SSD,Windows 10,1017,
392,Acer,Notebook,15.6,1366,768,Intel Core i5 8250U ,Nvidia GeForce MX130,1.6,12,1024,,HDD,Windows 10,443,
393,MSI,Gaming,17.3,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050 Ti,2.8,8,256,,SSD,Windows 10,862,
